id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
859608150916802555,Studio with Acropolis view,507982883,Christos,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.001647644566916,23.730076529974326,Entire home/apt,40,1,43,2024-11-08,5.04,2,327,43,00002563884
859888202145815138,Το ρετιρέ στο Κουκάκι,103461868,Andriani,,ΑΚΡΟΠΟΛΗ,37.96388,23.71901,Entire home/apt,67,2,34,2024-11-29,1.81,2,168,17,00001969811
859907678657421955,Εστία 10 λεπτά από την Ακρόπολη,275500744,Thomas,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96463954917936,23.722958229482174,Entire home/apt,34,5,13,2024-06-11,0.64,4,361,3,00001953248
859966873295671643,Fully Renovated Cosy Studio Downtown Exarcheia!,508036257,Alexandros,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9841048,23.736896,Entire home/apt,24,1,111,2024-12-10,5.29,1,308,64,00001889519
860000831918184335,Room in a spacious Art deco apartment in Athens,101826576,Vincent,,ΚΥΨΕΛΗ,37.99880406705824,23.73320199638859,Private room,60,1,6,2024-06-16,0.30,2,256,5,00001969610
860063910562246965,B21 Residence 407,493460760,BTwentyOne,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9879175,23.7284429,Private room,94,1,0,,,13,364,0,00001858516
860074673880769210,B21 Residence 406,493460760,BTwentyOne,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9879175,23.7284429,Private room,118,1,0,,,13,357,0,00001858500
860114360657280285,"Αθήνα, Αμπελόκηποι, άνετο και ευρύχωρο διαμέρισμα",120032966,Βασιλικη,,ΑΜΠΕΛΟΚΗΠΟΙ,37.9895951,23.767815,Entire home/apt,65,2,17,2024-11-23,0.91,1,346,9,00002025069
860607696231824324,"Athens center, COMFY Flat",508158781,Gabriel,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9782161,23.7251363233,Entire home/apt,50,2,51,2024-11-09,2.53,1,263,24,00001967870
860608908293894285,Still got the blues,508159094,Mary,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.988210560321804,23.733574111639392,Entire home/apt,,2,7,2023-09-17,0.35,2,1,0,00002798109
860651150038556519,Award-winning Yellow-spot,15758167,Alexis,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9829318,23.719037,Entire home/apt,101,1,105,2024-12-02,5.04,4,329,49,00001977390
860659784971230888,Attiki-Appartment,508168483,Alfred,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,38.002189,23.7262774,Entire home/apt,65,1,6,2023-07-25,0.31,1,364,0,00002076786
860806278138491172,Two-bedroom Apt near subway and  Acropolis,495152413,Yunfeng,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9624190976098,23.728566127425754,Entire home/apt,100,1,10,2024-10-09,0.49,1,358,3,00001970053
860852124069785475,Bright apartment in the heart of the centre,508195419,Λία,,ΚΟΛΩΝΑΚΙ,37.97802799999999,23.742471,Entire home/apt,70,2,53,2024-12-20,2.63,1,344,27,00001967945
860902289194839834,Award-winning White-spot,15758167,Alexis,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.983340261211936,23.718903064727783,Entire home/apt,134,1,126,2024-12-09,6.07,4,256,65,00003077267
860911964465855037,Nikis 20 Suite 4,508234840,Errika,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97545251083162,23.73181516932636,Entire home/apt,81,1,0,,,5,236,0,00002277091
860930068912112591,Φωτεινό Αρχοντικό Διαμέρισμα,42755842,Youla,,ΠΑΓΚΡΑΤΙ,37.9691434,23.7517782,Entire home/apt,72,2,17,2024-10-28,0.82,19,362,2,00001938053
860985342817567699,Μοντέρνο διαμέρισμα 2' από το μετρό,42755842,Youla,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9966835,23.7241649,Entire home/apt,65,1,5,2023-07-04,0.25,19,356,0,00002615356
861440371665767611,Center of Athens No.2,454393211,Topokat,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9847261,23.723903,Entire home/apt,60,4,11,2023-11-01,0.54,4,238,0,00001972689
861443838729286830,that's amoriou,508345230,Leona,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.996892724216224,23.728687820971906,Entire home/apt,45,1,50,2024-12-02,2.54,1,229,30,00001876142
861473935573918856,Homey stay in Athens,338571740,Panos & Jacob,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98855495397151,23.73631328465576,Entire home/apt,54,3,71,2024-11-11,3.56,2,344,39,00002005672
861532011358772944,Center of Athens No1,454393211,Topokat,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9847261,23.723903,Entire home/apt,60,4,12,2023-11-13,0.65,4,238,0,00001972812
861629989252961728,Athens Walk,200850632,Κυριακη,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9639,23.72742,Entire home/apt,90,3,4,2024-10-01,0.21,2,354,1,00001963518
861713928775757728,B&B 4 Bedrooms apartments,294222259,Mélina,,ΠΕΤΡΑΛΩΝΑ,37.96865967610413,23.7061685788172,Entire home/apt,263,1,19,2024-11-18,1.04,37,344,14,00002771539
861936898650498406,Cozy apartment in Athens,504776990,AthensToGo,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96258104237397,23.727100002992646,Entire home/apt,70,2,0,,,6,358,0,00003062854
861981516135256910,Evita's luxury apartment 203,507429937,Νικολαος,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9906998,23.7225378,Entire home/apt,45,2,16,2024-11-18,2.26,4,362,16,00001960267
861999567712562721,Your 4 bdrm Dream House w/Acropolis View & Jacuzzi,748818,George,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97483012004968,23.729495414793956,Entire home/apt,463,1,46,2024-12-05,2.31,64,265,32,00002852769
862090849979916047,ART.W Executive Apartments (202),506533171,GGHomes,,ΣΤΑΔΙΟ,37.9666,23.73961,Entire home/apt,173,2,0,,,7,110,0,Exempt
862094962809298071,ART.W Executive Apartments (301),506533171,GGHomes,,ΣΤΑΔΙΟ,37.96668441307597,23.739875966580264,Entire home/apt,196,2,0,,,7,153,0,Exempt
862096355451812486,Superior Suite Theseus by 2 Mazi Suites,427836300,Hellas Elements,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.973175422137814,23.732915928836054,Entire home/apt,276,1,0,,,12,358,0,00001597176
862099318138931424,ART.W Executive Apartments (302),506533171,GGHomes,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96505,23.73819,Entire home/apt,196,2,0,,,7,152,0,Exempt
862106477215178965,ART.W Executive Apartments (401),506533171,GGHomes,,ΣΤΑΔΙΟ,37.96666,23.73834,Entire home/apt,173,2,0,,,7,115,0,Exempt
862151514102258031,Cozy flat 5min to subway station -EPIDA-,441138011,Waylink Investment,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.0110363,23.7303485,Entire home/apt,59,3,25,2024-10-14,1.26,10,176,20,00001926364
862172824621231434,Executive Suite Aegeus by 2 Mazi Suites,427836300,Hellas Elements,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9732123,23.7329052,Entire home/apt,311,1,0,,,12,352,0,00001597176
862196364707471347,Acropolis Exclusive Apartment,107569996,Anny & Emilia,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9660535,23.7267242,Entire home/apt,425,1,4,2024-06-12,0.20,12,303,1,0206E60000696401
862234917971754492,"""Mykonos"" Keramikos studio next to Acropolis",92310506,Sokol,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98226876624553,23.7180574676656,Entire home/apt,29,1,99,2024-11-18,4.74,42,260,49,1970685
862269558342365838,Athens Escape,200850632,Κυριακη,,ΠΑΓΚΡΑΤΙ,37.970143627096654,23.74857674390541,Entire home/apt,90,3,2,2023-06-23,0.10,2,327,0,00001752730
862306068247827549,Πράσινη Κυψέλη,508537708,Alexandros,,ΚΥΨΕΛΗ,38.00066,23.74316,Entire home/apt,58,2,5,2024-12-19,0.25,1,349,3,00002604239
